Category,SubCategory,Indicator,Year,Geography,Geo_Group,Geo_ID,Demography,Demo_Group,Number,Cum_Number,Ave_Annual_Number,Crude_Rate,Lower_95CI_Crude_Rate,Upper_95CI_Crude_Rate,Age_Adj_Rate,Lower_95CI_Age_Adj_Rate,Upper_95CI_Age_Adj_Rate,Percent,Lower_95CI_Percent,Upper_95CI_Percent,Weight_Number,Weight_Percent,Lower_95CI_Weight_Percent,Upper_95CI_Weight_Percent,Map_Key,Flag
Environmental Quality,Air Quality,Aerosol Optical Depth,2017,Community Area,1-Rogers Park,1,NA,NA,0.181125198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,Air Quality,Aerosol Optical Depth,2017,Community Area,2-West Ridge,2,NA,NA,0.178820254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,Air Quality,Aerosol Optical Depth,2017,Community Area,3-Uptown,3,NA,NA,0.178574386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,Air Quality,Aerosol Optical Depth,2017,Community Area,4-Lincoln Square,4,NA,NA,0.172880681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,Air Quality,Aerosol Optical Depth,2017,Community Area,5-North Center,5,NA,NA,0.163209406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,Air Quality,Aerosol Optical Depth,2017,Community Area,6-Lakeview,6,NA,NA,0.181696973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,Air Quality,Aerosol Optical Depth,2017,Community Area,7-Lincoln Park,7,NA,NA,0.172443353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,Air Quality,Aerosol Optical Depth,2017,Community Area,8-Near North Side,8,NA,NA,0.183373522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,Air Quality,Aerosol Optical Depth,2017,Community Area,9-Edison Park,9,NA,NA,0.174049546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,Air Quality,Aerosol Optical Depth,2017,Community Area,10-Norwood Park,10,NA,NA,0.161158265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,Air Quality,Aerosol Optical Depth,2017,Community Area,11-Jefferson Park,11,NA,NA,0.162106223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,Air Quality,Aerosol Optical Depth,2017,Community Area,12-Forest Glen,12,NA,NA,0.1838533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,Air Quality,Aerosol Optical Depth,2017,Community Area,13-North Park,13,NA,NA,0.176642237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,Air Quality,Aerosol Optical Depth,2017,Community Area,14-Albany Park,14,NA,NA,0.16336921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,Air Quality,Aerosol Optical Depth,2017,Community Area,15-Portage Park,15,NA,NA,0.154149027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,Air Quality,Aerosol Optical Depth,2017,Community Area,16-Irving Park,16,NA,NA,0.156608183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
