Category,SubCategory,Indicator,Year,Geography,Geo_Group,Geo_ID,Demography,Demo_Group,Number,Cum_Number,Ave_Annual_Number,Crude_Rate,Lower_95CI_Crude_Rate,Upper_95CI_Crude_Rate,Age_Adj_Rate,Lower_95CI_Age_Adj_Rate,Upper_95CI_Age_Adj_Rate,Percent,Lower_95CI_Percent,Upper_95CI_Percent,Weight_Number,Weight_Percent,Lower_95CI_Weight_Percent,Upper_95CI_Weight_Percent,Map_Key,Flag
Environmental Quality,Land Cover,Blue Index,2011,Community Area,1-Rogers Park,1,NA,NA,2.979373568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,Land Cover,Blue Index,2011,Community Area,2-West Ridge,2,NA,NA,1.502124716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,Land Cover,Blue Index,2011,Community Area,3-Uptown,3,NA,NA,2.695377202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,Land Cover,Blue Index,2011,Community Area,4-Lincoln Square,4,NA,NA,2.879652268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,Land Cover,Blue Index,2011,Community Area,5-North Center,5,NA,NA,3.326544467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,Land Cover,Blue Index,2011,Community Area,6-Lakeview,6,NA,NA,3.348909657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,Land Cover,Blue Index,2011,Community Area,7-Lincoln Park,7,NA,NA,3.158705701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,Land Cover,Blue Index,2011,Community Area,8-Near North Side,8,NA,NA,5.859126226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,Land Cover,Blue Index,2011,Community Area,9-Edison Park,9,NA,NA,0.186104218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,Land Cover,Blue Index,2011,Community Area,10-Norwood Park,10,NA,NA,0.175368673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,Land Cover,Blue Index,2011,Community Area,11-Jefferson Park,11,NA,NA,0.254072635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,Land Cover,Blue Index,2011,Community Area,12-Forest Glen,12,NA,NA,0.474613687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,Land Cover,Blue Index,2011,Community Area,13-North Park,13,NA,NA,1.119248307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
