Category,SubCategory,Indicator,Year,Geography,Geo_Group,Geo_ID,Demography,Demo_Group,Number,Cum_Number,Ave_Annual_Number,Crude_Rate,Lower_95CI_Crude_Rate,Upper_95CI_Crude_Rate,Age_Adj_Rate,Lower_95CI_Age_Adj_Rate,Upper_95CI_Age_Adj_Rate,Percent,Lower_95CI_Percent,Upper_95CI_Percent,Weight_Number,Weight_Percent,Lower_95CI_Weight_Percent,Upper_95CI_Weight_Percent,Map_Key,Flag
Environmental Quality,Point Emission,Facility KDE,2011,Community Area,1-Rogers Park,1,NA,NA,2.600100156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,Point Emission,Facility KDE,2011,Community Area,2-West Ridge,2,NA,NA,4.523554037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,Point Emission,Facility KDE,2011,Community Area,3-Uptown,3,NA,NA,6.755488142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,Point Emission,Facility KDE,2011,Community Area,4-Lincoln Square,4,NA,NA,8.023165334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,Point Emission,Facility KDE,2011,Community Area,5-North Center,5,NA,NA,13.79255603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,Point Emission,Facility KDE,2011,Community Area,6-Lakeview,6,NA,NA,12.50344855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,Point Emission,Facility KDE,2011,Community Area,7-Lincoln Park,7,NA,NA,20.98232456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,Point Emission,Facility KDE,2011,Community Area,8-Near North Side,8,NA,NA,28.74731628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,Point Emission,Facility KDE,2011,Community Area,9-Edison Park,9,NA,NA,1.876453889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,Point Emission,Facility KDE,2011,Community Area,10-Norwood Park,10,NA,NA,3.0422517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,Point Emission,Facility KDE,2011,Community Area,11-Jefferson Park,11,NA,NA,4.885251947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,Point Emission,Facility KDE,2011,Community Area,12-Forest Glen,12,NA,NA,4.453704538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
