OID,CA_Name,CA_Number,PM25
1,DOUGLAS,35,8.536816915
2,OAKLAND,36,8.510136604
3,FULLER PARK,37,8.524905205
4,GRAND BOULEVARD,38,8.499172211
5,KENWOOD,39,8.476313591
6,LINCOLN SQUARE,4,8.712658882
7,WASHINGTON PARK,40,8.506144285
8,HYDE PARK,41,8.484984398
9,WOODLAWN,42,8.482225895
10,ROGERS PARK,1,8.629705429
11,JEFFERSON PARK,11,9.022768974
12,FOREST GLEN,12,8.946986198
13,NORTH PARK,13,8.816828728
14,ALBANY PARK,14,8.810821533
15,PORTAGE PARK,15,8.975885391
16,IRVING PARK,16,8.794188499
17,DUNNING,17,9.170344353
18,MONTCLARE,18,9.150803566
19,BELMONT CRAGIN,19,8.979758263
20,WEST RIDGE,2,8.685656548
21,HERMOSA,20,8.86942029
22,AVONDALE,21,8.776739883
23,LOGAN SQUARE,22,8.798928261
24,HUMBOLDT PARK,23,8.815488815
25,WEST TOWN,24,8.715265751
26,AUSTIN,25,8.921620369
27,WEST GARFIELD PARK,26,8.772900581
28,EAST GARFIELD PARK,27,8.715143204
29,NEAR WEST SIDE,28,8.639754295
30,NORTH LAWNDALE,29,8.712588787
31,UPTOWN,3,8.658638954
32,SOUTH LAWNDALE,30,8.693488598
33,LOWER WEST SIDE,31,8.618891239
34,NEAR SOUTH SIDE,33,8.558213234
35,ARMOUR SQUARE,34,8.55015707
36,NORWOOD PARK,10,9.22276926
37,NEAR NORTH SIDE,8,8.607776642
38,LOOP,32,8.572425842
39,SOUTH SHORE,43,8.469272614
40,CHATHAM,44,8.491568565
41,AVALON PARK,45,8.475691477
42,SOUTH CHICAGO,46,8.465490341
43,BURNSIDE,47,8.486037254
44,CALUMET HEIGHTS,48,8.476064682
45,ROSELAND,49,8.502401829
46,NORTH CENTER,5,8.695088387
47,PULLMAN,50,8.488992691
48,SOUTH DEERING,51,8.489737511
49,EAST SIDE,52,8.481541634
50,WEST PULLMAN,53,8.536379496
51,RIVERDALE,54,8.513989449
52,HEGEWISCH,55,8.502636274
53,GARFIELD RIDGE,56,8.763939857
54,ARCHER HEIGHTS,57,8.692619324
55,BRIGHTON PARK,58,8.63540554
56,MCKINLEY PARK,59,8.617696762
57,LAKE VIEW,6,8.637251854
58,BRIDGEPORT,60,8.577527046
59,NEW CITY,61,8.5727458
60,WEST ELSDON,62,8.674421946
61,GAGE PARK,63,8.594306231
62,CLEARING,64,8.789027532
63,WEST LAWN,65,8.620157242
64,CHICAGO LAWN,66,8.575574875
65,WEST ENGLEWOOD,67,8.531294823
66,ENGLEWOOD,68,8.509726524
67,GREATER GRAND CROSSING,69,8.494562149
68,LINCOLN PARK,7,8.642408053
69,ASHBURN,70,8.538063049
70,AUBURN GRESHAM,71,8.516965866
71,BEVERLY,72,8.545051098
72,WASHINGTON HEIGHTS,73,8.524312973
73,MOUNT GREENWOOD,74,8.628011513
74,MORGAN PARK,75,8.575592041
75,OHARE,76,9.453949247
76,EDGEWATER,77,8.621806145
77,EDISON PARK,9,9.218443871
