"","Community_Area","Area_Number","NDVI","NDVI_Quantile"
"1","DOUGLAS","35","0.273240365876871","3"
"2","OAKLAND","36","0.322365242056549","5"
"3","FULLER PARK","37","0.204353500623256","1"
"4","GRAND BOULEVARD","38","0.25370339703996","3"
"5","KENWOOD","39","0.309673309326172","4"
"6","LINCOLN SQUARE","4","0.290377064806516","4"
"7","WASHINGTON PARK","40","0.329510482002611","5"
"8","HYDE PARK","41","0.307234868995453","4"
"9","WOODLAWN","42","0.332341071402672","5"
"10","ROGERS PARK","1","0.238450240166414","2"
"11","JEFFERSON PARK","11","0.292869217223949","4"
"12","FOREST GLEN","12","0.404135785996914","5"
"13","NORTH PARK","13","0.355649145364761","5"
"14","ALBANY PARK","14","0.242360742009701","2"
"15","PORTAGE PARK","15","0.261606389922755","3"
"16","IRVING PARK","16","0.250895698865255","3"
"17","DUNNING","17","0.319469841370166","5"
"18","MONTCLARE","18","0.268734224761526","3"
"19","BELMONT CRAGIN","19","0.233075311253084","2"
"20","WEST RIDGE","2","0.290785501520318","4"
"21","HERMOSA","20","0.207386170281097","1"
"22","AVONDALE","21","0.188485193161332","1"
"23","LOGAN SQUARE","22","0.195954934744064","1"
"24","HUMBOLDT PARK","23","0.207814849532125","2"
"25","WEST TOWN","24","0.18127624487335","1"
"26","AUSTIN","25","0.256967590644326","3"
"27","WEST GARFIELD PARK","26","0.247267132655519","2"
"28","EAST GARFIELD PARK","27","0.252649216169722","3"
"29","NEAR WEST SIDE","28","0.164583535298057","1"
"30","NORTH LAWNDALE","29","0.254422826692462","3"
"31","UPTOWN","3","0.288292594382475","3"
"32","SOUTH LAWNDALE","30","0.19396915276976","1"
"33","LOWER WEST SIDE","31","0.137781340838738","1"
"34","NEAR SOUTH SIDE","33","0.192284532278389","1"
"35","ARMOUR SQUARE","34","0.169883385131305","1"
"36","NORWOOD PARK","10","0.328425413642365","5"
"37","NEAR NORTH SIDE","8","0.152212197862325","1"
"38","LOOP","32","0.174028042473911","1"
"39","SOUTH SHORE","43","0.286720460194808","3"
"40","CHATHAM","44","0.291407664292964","4"
"41","AVALON PARK","45","0.288662922793421","4"
"42","SOUTH CHICAGO","46","0.316256041779663","4"
"43","BURNSIDE","47","0.297022552788258","4"
"44","CALUMET HEIGHTS","48","0.294585204524238","4"
"45","ROSELAND","49","0.337565350639927","5"
"46","NORTH CENTER","5","0.227786739568899","2"
"47","PULLMAN","50","0.306720558709155","4"
"48","SOUTH DEERING","51","0.307306689239802","4"
"49","EAST SIDE","52","0.290827876407337","4"
"50","WEST PULLMAN","53","0.352938701910091","5"
"51","RIVERDALE","54","0.362830722279716","5"
"52","HEGEWISCH","55","0.350102854472526","5"
"53","GARFIELD RIDGE","56","0.236766788260181","2"
"54","ARCHER HEIGHTS","57","0.15038728636379","1"
"55","BRIGHTON PARK","58","0.17068091834731","1"
"56","MCKINLEY PARK","59","0.186762087161724","1"
"57","LAKE VIEW","6","0.221836576616014","2"
"58","BRIDGEPORT","60","0.166839625071553","1"
"59","NEW CITY","61","0.220685161229061","2"
"60","WEST ELSDON","62","0.242067392915487","2"
"61","GAGE PARK","63","0.22469173980142","2"
"62","CLEARING","64","0.218105987396859","2"
"63","WEST LAWN","65","0.22311616743971","2"
"64","CHICAGO LAWN","66","0.274212150329567","3"
"65","WEST ENGLEWOOD","67","0.31673888453882","4"
"66","ENGLEWOOD","68","0.32696124760283","5"
"67","GREATER GRAND CROSSING","69","0.28678192309607","3"
"68","LINCOLN PARK","7","0.224057061932026","2"
"69","ASHBURN","70","0.283151230893352","3"
"70","AUBURN GRESHAM","71","0.283863423993348","3"
"71","BEVERLY","72","0.419310775495345","5"
"72","WASHINGTON HEIGHTS","73","0.316629365524825","4"
"73","MOUNT GREENWOOD","74","0.359399362917869","5"
"74","MORGAN PARK","75","0.377815874773751","5"
"75","OHARE","76","0.263021811954384","3"
"76","EDGEWATER","77","0.233916795548098","2"
"77","EDISON PARK","9","0.332064635765094","5"
