"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/23/2018","AirNow","170010007","1","0.017","ppm","16","JOHN WOOD COMMUNITY COLLEGE","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"02/24/2018","AirNow","170010007","1","0.023","ppm","21","JOHN WOOD COMMUNITY COLLEGE","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"02/25/2018","AirNow","170010007","1","0.039","ppm","36","JOHN WOOD COMMUNITY COLLEGE","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"02/26/2018","AirNow","170010007","1","0.04","ppm","37","JOHN WOOD COMMUNITY COLLEGE","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"02/27/2018","AirNow","170010007","1","0.047","ppm","44","JOHN WOOD COMMUNITY COLLEGE","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"02/28/2018","AirNow","170010007","1","0.035","ppm","32","JOHN WOOD COMMUNITY COLLEGE","24","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/01/2018","AQS","170010007","1","0.04","ppm","37","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/02/2018","AQS","170010007","1","0.041","ppm","38","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/03/2018","AQS","170010007","1","0.042","ppm","39","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/04/2018","AQS","170010007","1","0.041","ppm","38","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/05/2018","AQS","170010007","1","0.031","ppm","29","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/06/2018","AQS","170010007","1","0.032","ppm","30","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/07/2018","AQS","170010007","1","0.036","ppm","33","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/08/2018","AQS","170010007","1","0.037","ppm","34","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/09/2018","AQS","170010007","1","0.036","ppm","33","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/10/2018","AQS","170010007","1","0.038","ppm","35","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/11/2018","AQS","170010007","1","0.035","ppm","32","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/12/2018","AQS","170010007","1","0.04","ppm","37","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/13/2018","AQS","170010007","1","0.039","ppm","36","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/14/2018","AQS","170010007","1","0.04","ppm","37","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/15/2018","AQS","170010007","1","0.045","ppm","42","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/16/2018","AQS","170010007","1","0.033","ppm","31","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/17/2018","AQS","170010007","1","0.021","ppm","19","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/18/2018","AQS","170010007","1","0.037","ppm","34","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/19/2018","AQS","170010007","1","0.04","ppm","37","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/20/2018","AQS","170010007","1","0.036","ppm","33","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/21/2018","AQS","170010007","1","0.041","ppm","38","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/22/2018","AQS","170010007","1","0.033","ppm","31","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/23/2018","AQS","170010007","1","0.037","ppm","34","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/24/2018","AQS","170010007","1","0.036","ppm","33","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
