"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2018","AQS","170190006","1","6","ug/m3 LC","25","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/05/2018","AQS","170190006","1","5.6","ug/m3 LC","23","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/08/2018","AQS","170190006","1","9.5","ug/m3 LC","40","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/14/2018","AQS","170190006","1","5.7","ug/m3 LC","24","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/17/2018","AQS","170190006","1","7.2","ug/m3 LC","30","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/20/2018","AQS","170190006","1","6.9","ug/m3 LC","29","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/23/2018","AQS","170190006","1","6","ug/m3 LC","25","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/26/2018","AQS","170190006","1","4.4","ug/m3 LC","18","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/29/2018","AQS","170190006","1","4.9","ug/m3 LC","20","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"02/01/2018","AQS","170190006","1","4.7","ug/m3 LC","20","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"02/04/2018","AQS","170190006","1","3.9","ug/m3 LC","16","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"02/07/2018","AQS","170190006","1","17.7","ug/m3 LC","63","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"02/10/2018","AQS","170190006","1","13.8","ug/m3 LC","55","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"02/13/2018","AQS","170190006","1","15.4","ug/m3 LC","58","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"02/16/2018","AQS","170190006","1","8.6","ug/m3 LC","36","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"02/19/2018","AQS","170190006","1","6.5","ug/m3 LC","27","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
