"","x"
"1","12014"
"2","22014"
"3","32014"
"4","42014"
"5","52014"
"6","62014"
"7","72014"
"8","82014"
"9","92014"
"10","102014"
"11","112014"
"12","122014"
"13","12015"
"14","22015"
"15","32015"
"16","42015"
"17","52015"
"18","62015"
"19","72015"
"20","82015"
"21","92015"
"22","102015"
"23","112015"
"24","122015"
"25","12016"
"26","22016"
"27","32016"
"28","42016"
"29","52016"
"30","62016"
"31","72016"
"32","82016"
"33","92016"
"34","102016"
"35","112016"
"36","122016"
"37","12017"
"38","22017"
"39","32017"
"40","42017"
"41","52017"
"42","62017"
"43","72017"
"44","82017"
"45","92017"
"46","102017"
"47","112017"
"48","122017"
"49","12018"
"50","22018"
"51","32018"
"52","42018"
"53","52018"
"54","62018"
"55","72018"
"56","82018"
"57","92018"
