"","CA_Name","CA_Number","Mean_NDVI"
"1","DOUGLAS","35","8.71044596664236"
"2","OAKLAND","36","8.70119556888544"
"3","FULLER PARK","37","8.67878067607601"
"4","GRAND BOULEVARD","38","8.68020955602974"
"5","KENWOOD","39","8.67810771291242"
"6","LINCOLN SQUARE","4","8.80424568955413"
"7","WASHINGTON PARK","40","8.64797007762321"
"8","HYDE PARK","41","8.65904332604821"
"9","WOODLAWN","42","8.64049931350681"
"10","ROGERS PARK","1","8.80721080261657"
"11","JEFFERSON PARK","11","8.83796964413764"
"12","FOREST GLEN","12","8.85101294594247"
"13","NORTH PARK","13","8.78239527012092"
"14","ALBANY PARK","14","8.77855424052395"
"15","PORTAGE PARK","15","8.80066908988836"
"16","IRVING PARK","16","8.77419364017048"
"17","DUNNING","17","9.11753464083423"
"18","MONTCLARE","18","8.96471134399714"
"19","BELMONT CRAGIN","19","8.85353109683122"
"20","WEST RIDGE","2","8.81630397412914"
"21","HERMOSA","20","8.81327624224611"
"22","AVONDALE","21","8.80118381796922"
"23","LOGAN SQUARE","22","8.80733493805832"
"24","HUMBOLDT PARK","23","8.80034839983321"
"25","WEST TOWN","24","8.79003750241889"
"26","AUSTIN","25","8.744241159533"
"27","WEST GARFIELD PARK","26","8.69140207703795"
"28","EAST GARFIELD PARK","27","8.74668512991394"
"29","NEAR WEST SIDE","28","8.75613233947401"
"30","NORTH LAWNDALE","29","8.67477023400514"
"31","UPTOWN","3","8.80147512530101"
"32","SOUTH LAWNDALE","30","8.71627763254417"
"33","LOWER WEST SIDE","31","8.73088364674484"
"34","NEAR SOUTH SIDE","33","8.73337206930951"
"35","ARMOUR SQUARE","34","8.71974862928788"
"36","NORWOOD PARK","10","9.15968517207107"
"37","NEAR NORTH SIDE","8","8.77585981144973"
"38","LOOP","32","8.75735829287367"
"39","SOUTH SHORE","43","8.6219141667808"
"40","CHATHAM","44","8.59807396212062"
"41","AVALON PARK","45","8.60508505306437"
"42","SOUTH CHICAGO","46","8.5813913568635"
"43","BURNSIDE","47","8.58085096989279"
"44","CALUMET HEIGHTS","48","8.56880569703041"
"45","ROSELAND","49","8.59646326163143"
"46","NORTH CENTER","5","8.80408594396572"
"47","PULLMAN","50","8.56734427841664"
"48","SOUTH DEERING","51","8.5154826675638"
"49","EAST SIDE","52","8.48293329972654"
"50","WEST PULLMAN","53","8.62587229418652"
"51","RIVERDALE","54","8.58390987261292"
"52","HEGEWISCH","55","8.50740659817226"
"53","GARFIELD RIDGE","56","8.78031557616801"
"54","ARCHER HEIGHTS","57","8.72020195396657"
"55","BRIGHTON PARK","58","8.69473518769191"
"56","MCKINLEY PARK","59","8.71007832484162"
"57","LAKE VIEW","6","8.80014027499042"
"58","BRIDGEPORT","60","8.7175662031543"
"59","NEW CITY","61","8.67613478571678"
"60","WEST ELSDON","62","8.64599470184372"
"61","GAGE PARK","63","8.6146907043477"
"62","CLEARING","64","8.72817525522902"
"63","WEST LAWN","65","8.47075618270096"
"64","CHICAGO LAWN","66","8.47277238691737"
"65","WEST ENGLEWOOD","67","8.57308289203575"
"66","ENGLEWOOD","68","8.61394968965647"
"67","GREATER GRAND CROSSING","69","8.61348932302015"
"68","LINCOLN PARK","7","8.79397442102279"
"69","ASHBURN","70","8.4105827367261"
"70","AUBURN GRESHAM","71","8.54710269945632"
"71","BEVERLY","72","8.59549184734404"
"72","WASHINGTON HEIGHTS","73","8.59378558736455"
"73","MOUNT GREENWOOD","74","8.70365569873709"
"74","MORGAN PARK","75","8.66017854690889"
"75","OHARE","76","9.85541751249128"
"76","EDGEWATER","77","8.80533863567895"
"77","EDISON PARK","9","9.19864015259336"
